,AllIC,xBottom,xTop,yBottom,yTop
20150202,-0.6370820522030525,-0.4833212012350724,-0.27613152683332065,-1.179897752002659,0.5781708838528508
20150203,-0.627059463832775,-0.470803226923416,-0.18124503448616375,-1.2161093961762879,0.6287636442700405
20150204,-0.5083345033633183,-0.5011305167451059,-0.04071736510226037,-1.1085550780276372,0.6964549615310166
20150205,-0.5750912151805913,-0.4800845672577859,-0.03755449151614607,-1.2936811672761372,0.775446538870577
20150206,-0.7664795788311477,-0.4270969432042735,-0.17792736721455954,-1.6202836179829279,0.9800733208916698
20150209,-0.8083196688996677,-0.30854670160371284,-0.41285585010203546,-1.7811368880073868,1.1159613511638231
20150210,-0.8636057587434199,-0.3309072520445199,-0.41517939345923405,-1.8136189333052022,1.144627681950526
20150211,-0.834727167858968,-0.3823008476093032,-0.34333641436453577,-1.8381008470590916,1.1460962542583188
20150212,-0.85375802465388,-0.4435573625109513,-0.3296051404864997,-1.929501618443699,1.2109191783485411
20150213,-0.8574972102868686,-0.5280221256018359,-0.294696422564982,-1.8503783397217621,1.1652662576271833
20150216,-0.8418159954335569,-0.6010168378458245,-0.2240838052656695,-1.7924151420749759,1.2073711110120873
20150217,-0.8762729748496273,-0.6012946398523006,-0.2776911973191363,-1.8511311382948301,1.1930686700893203
20150225,-0.9057196160320344,-0.5134969988836711,-0.4182655286579603,-1.9170382336215084,1.3405778210678336
20150226,-0.9486304544711637,-0.6016860248805898,-0.44700854877384255,-1.9341022405561876,1.4019660884814857
20150227,-1.0387023289886377,-0.6857358964312724,-0.3621723052074025,-1.8502119059151056,1.2823178279883334
20150302,-1.085492580710588,-0.7217833016700202,-0.39069828712043925,-1.8594521795645775,1.3158399907854768
20150303,-1.0088216165667891,-0.6369098553601261,-0.3612317077016156,-1.7650331013914784,1.3709278832929426
20150304,-1.0068077484058857,-0.7102654538063995,-0.34378945851329407,-1.8833676590811101,1.4735663576982243
20150305,-1.118421773948081,-0.7566249634318534,-0.41701013757230143,-1.9845594595984732,1.4541512819675257
20150306,-1.2236011928673143,-0.7359491818038487,-0.48392075455163075,-2.209394482106612,1.545009697690436
20150309,-1.352919275518454,-0.8054576702822768,-0.502751013504651,-2.3634759568240193,1.5606987020427907
20150310,-1.3193379871208462,-0.7694554979915713,-0.45480006473346474,-2.3368134653977624,1.5410814109277733
20150311,-1.471657040887998,-0.7284469879171884,-0.5582748938094122,-2.4272225134394527,1.548879383540328
20150312,-1.5798290970551965,-0.8023393598369832,-0.5865703880451227,-2.585453752914135,1.6199926764955794
20150313,-1.6749103638472294,-0.8387348406343411,-0.6427539446774597,-2.738867704486295,1.7000413144090825
20150316,-1.7531219268428542,-0.8021568696667203,-0.670905113573599,-2.843555332174013,1.7645218623693693
20150317,-1.775425597096702,-0.7883875525240592,-0.6623975057314946,-2.926069348090733,1.7730941670912157
20150318,-1.799693980221629,-0.7618922805108478,-0.7244849900600255,-2.9904612260678975,1.7602165320793848
20150319,-1.757999857960139,-0.8043727958266617,-0.7243215083028417,-2.907092402329741,1.7926914384362849
20150320,-1.740283462413249,-0.77892637475801,-0.6450261115543994,-3.0468806335917096,1.9372216256154273
20150323,-1.7203628288832096,-0.8251464643896691,-0.5482570959979234,-3.15834927250316,1.9779074443908695
20150324,-1.6463651964353982,-0.9028005744174796,-0.4882686049214051,-3.17476550933782,2.091032867126823
20150325,-1.9194801900897485,-0.8438829144175227,-0.7144693875803594,-3.488804701384073,2.112049473654717
20150326,-2.0000464057160925,-0.8681766506696819,-0.7487805774428719,-3.654241151416512,2.1281837745573093
20150327,-1.85703560328291,-0.630679470235763,-0.8574201929466883,-3.4934407082683903,2.214528810512699
20150330,-1.844398965413714,-0.6815167680299516,-0.8420882001033132,-3.4682066962623654,2.2450180441540413
20150331,-1.8779521946113606,-0.7235043551066771,-0.7663788671747602,-3.521261234312012,2.289916789349034
20150401,-1.7948617972516459,-0.7013923675636922,-0.7733174491517383,-3.60586261653225,2.4479593951256704
20150402,-1.7029137047690805,-0.6866103576245958,-0.7459927910051503,-3.633831153662558,2.518059307776682
20150403,-1.778208530262324,-0.6573742718893554,-0.7926279795516122,-3.7948446602578727,2.548502101344338
20150407,-1.790369473057886,-0.6248012338430349,-0.7585794690126466,-3.865706704826047,2.5783785021945893
20150408,-1.7548575687116186,-0.657442054102706,-0.6471089775882908,-3.8294925109138425,2.6053423414095307
20150409,-1.7994640450456496,-0.5929699658693665,-0.6977451140602404,-4.089023607714184,2.822126956439227
20150410,-1.8586453871075672,-0.5625840971468116,-0.7775260581304914,-4.34739391134397,3.0609578993946034
20150413,-1.936399969227466,-0.5771515212650848,-0.788279125177454,-4.461091540496416,3.002365091637455
